NAME region
BA1 sm
BA2 sm
BA3 sm
BA4 sm
BA5 parietal
BA6 frontal
BA7 parietal
BA8 frontal
BA9 frontal
BA10 frontal
BA11 frontal
BA12 frontal
BA13 insula
BA14 insula
BA15 temporal
BA16 insula
BA17 occipital
BA18 occipital
BA19 occipital
BA20 temporal
BA21 temporal
BA22 temporal
BA23 cingulate
BA24 cingulate
BA25 cingulate
BA26 cingulate
BA27 temporal
BA28 temporal
BA29 cingulate
BA30 cingulate
BA31 cingulate
BA32 cingulate
BA33 cingulate
BA34 temporal
BA35 temporal
BA36 temporal
BA37 temporal
BA38 temporal
BA39 parietal
BA40 parietal
BA41 temporal
BA42 temporal
BA43 sm
BA44 frontal
BA45 frontal
BA46 frontal
BA47 frontal
